Type (class=String)
AngII = protein
AT1R = protein
AGT = protein
ACE = protein
NOX = protein
ROS = protein
ET1 = protein
ETAR = protein
DAG = small
PKC = protein
TRPC = protein
NE = small
BAR = protein
AC = protein
cAMP = small
PKA = protein
CREB = protein
CBP = protein
TGFB = protein
TGFB1R = protein
smad3 = protein
smad7 = protein
latentTGFB = protein
BAMBI = protein
PDGF = protein
PDGFR = protein
NP = protein
NPRA = protein
cGMP = small
PKG = protein
tension = process
B1int = protein
Rho = protein
ROCK = protein
Ca = small
calcineurin = protein
NFAT = protein
IL6 = protein
gp130 = protein
STAT = protein
IL1 = protein
IL1RI = protein
TNFa = protein
TNFaR = protein
NFKB = protein
PI3K = protein
Akt = protein
p38 = protein
TRAF = protein
ASK1 = protein
MKK3 = protein
PP1 = protein
JNK = protein
abl = protein
Rac1 = protein
MEKK1 = protein
MKK4 = protein
ERK = protein
Ras = protein
Raf = protein
MEK1 = protein
FAK = protein
epac = protein
Factin = 
FA = complex
cmyc = protein
CTGF = protein
proliferation = event
SRF = protein
EDAFN = protein
aSMA = protein
AP1 = protein
TIMP1 = protein
TIMP2 = protein
PAI1 = protein
proMMP14 = protein
proMMP1 = protein
proMMP2 = protein
proMMP9 = protein
fibronectin = protein
periostin = protein
proCI = protein
proCIII = protein
B3int = protein
Src = protein
Grb2 = protein
p130Cas = protein
YAP = protein
MRTF = protein
Gactin = protein
TNC = protein
mTORC1 = complex
mTORC2 = complex
p70S6K = protein
EBP1 = protein
syndecan4 = protein
proMMP3 = protein
proMMP8 = protein
proMMP12 = protein
thrombospondin4 = protein
osteopontin = protein
contractility = event
RhoGEF = protein
RhoGDI = protein
talin = protein
vinculin = protein
paxillin = protein
MLC = protein
AT2R = protein
rcn11 = connector
rcn12 = connector
rcn13 = connector
rcn14 = connector
rcn27 = connector
rcn28 = connector
rcn29 = connector
rcn32 = connector
rcn33 = connector
rcn36 = connector
rcn40 = connector
rcn43 = connector
rcn45 = connector
rcn51 = connector
rcn60 = connector
rcn61 = connector
rcn65 = connector
rcn76 = connector
rcn77 = connector
rcn83 = connector
rcn103 = connector
rcn106 = connector
rcn107 = connector
rcn111 = connector
rcn121 = connector
rcn123 = connector
rcn125 = connector
rcn127 = connector
rcn128 = connector
rcn131 = connector
rcn135 = connector
rcn136 = connector
rcn139 = connector
rcn143 = connector
rcn148 = connector
rcn149 = connector
rcn152 = connector
rcn153 = connector
rcn154 = connector
rcn158 = connector
rcn159 = connector
rcn160 = connector
rcn163 = connector
rcn164 = connector
rcn165 = connector
rcn172 = connector
